"acef:AcceptedTaxonID","acef:DistributionElement","acef:StandardInUse","acef:DistributionStatus"
54,"ARIOO","TDWG Level 4 code","native"
54,"ARI","TDWG Level 4 code","native"
55,"BZEBA","TDWG Level 4 code","native"
56,"CUBOO","TDWG Level 4 code","native"
57,"JAMOO","TDWG Level 4 code","native"
58,"HAIHA","TDWG Level 4 code","native"
59,"MXG","TDWG Level 4 code","native"
60,"ARIOO","TDWG Level 4 code","native"
60,"ARI","TDWG Level 4 code","native"
60,"CALOO","TDWG Level 4 code","native"
61,"CUBOO","TDWG Level 4 code","native"
63,"INDWB","TDWG Level 4 code","native"
64,"WINSV","TDWG Level 4 code","native"
65,"LEEMO","TDWG Level 4 code","native"
67,"WINDO","TDWG Level 4 code","native"
70,"WINDO","TDWG Level 4 code","native"
72,"PUEOO","TDWG Level 4 code","native"
73,"PUEOO","TDWG Level 4 code","native"
74,"WINDO","TDWG Level 4 code","native"
75,"WINGR","TDWG Level 4 code","native"
77,"WINSL","TDWG Level 4 code","native"
78,"WINDO","TDWG Level 4 code","native"
80,"WINDO","TDWG Level 4 code","native"
82,"PUEOO","TDWG Level 4 code","native"
84,"PUEOO","TDWG Level 4 code","native"
86,"BZCMT","TDWG Level 4 code","native"
86,"GUYOO","TDWG Level 4 code","native"
87,"TRTOO","TDWG Level 4 code","native"
88,"TRTOO","TDWG Level 4 code","native"
88,"GUYOO","TDWG Level 4 code","native"
90,"PANOO","TDWG Level 4 code","native"
91,"ZAIOO","TDWG Level 4 code","native"
91,"KENOO","TDWG Level 4 code","native"
91,"UGAOO","TDWG Level 4 code","native"
91,"RWAOO","TDWG Level 4 code","native"
91,"SUDOO","TDWG Level 4 code","native"
92,"ZAIOO","TDWG Level 4 code","native"
93,"ZAIOO","TDWG Level 4 code","native"
93,"CAFOO","TDWG Level 4 code","native"
93,"CMNOO","TDWG Level 4 code","native"
93,"SUDOO","TDWG Level 4 code","native"
94,"NGAOO","TDWG Level 4 code","native"
95,"NGAOO","TDWG Level 4 code","native"
96,"TVLNP","TDWG Level 4 code","native"
96,"CPPEC","TDWG Level 4 code","native"
96,"JAWOO","TDWG Level 4 code","native"
96,"NATOO","TDWG Level 4 code","native"
97,"ZAIOO","TDWG Level 4 code","native"
97,"CAFOO","TDWG Level 4 code","native"
101,"SIEOO","TDWG Level 4 code","native"
101,"CPPEC,CPPNC,CPPWC,NATOO,OFSOO,TVLGA,TVLMP,TVLNP,TVLNW","TDWG Level 4 code","native"
104,"MTNOO","TDWG Level 4 code","native"
104,"SENOO","TDWG Level 4 code","native"
105,"IRNOO","TDWG Level 4 code","native"
107,"TAIOO","TDWG Level 4 code","native"
108,"36","TDWG Level 4 code","native"
108,"VIEOO","TDWG Level 4 code","native"
113,"KENOO","TDWG Level 4 code","native"
115,"36","TDWG Level 4 code","native"
115,"VIEOO","TDWG Level 4 code","native"
117,"ZAIOO","TDWG Level 4 code","native"
117,"CPPEC,CPPNC,CPPWC,NATOO,OFSOO,TVLGA,TVLMP,TVLNP,TVLNW","TDWG Level 4 code","native"
118,"NGROO","TDWG Level 4 code","native"
119,"PALIS","TDWG Level 4 code","native"
120,"NWCOO","TDWG Level 4 code","native"
121,"NWCOO","TDWG Level 4 code","native"
122,"CHSZJ","TDWG Level 4 code","native"
122,"TAIOO","TDWG Level 4 code","native"
125,"NWCOO","TDWG Level 4 code","native"
127,"NWCOO","TDWG Level 4 code","native"
128,"NWCOO","TDWG Level 4 code","native"
132,"JAPKY","TDWG Level 4 code","native"
132,"JAPSH","TDWG Level 4 code","native"
132,"JAPHN","TDWG Level 4 code","native"
134,"CHCHU","TDWG Level 4 code","native"
135,"SRLOO","TDWG Level 4 code","native"
135,"IND","TDWG Level 4 code","native"
136,"SIEOO","TDWG Level 4 code","native"
137,"SIEOO","TDWG Level 4 code","native"
137,"UGAOO","TDWG Level 4 code","native"
138,"SIEOO","TDWG Level 4 code","native"
142,"ZAIOO","TDWG Level 4 code","native"
142,"SIEOO","TDWG Level 4 code","native"
144,"SIEOO","TDWG Level 4 code","native"
145,"JAWOO","TDWG Level 4 code","native"
146,"VIEOO","TDWG Level 4 code","native"
147,"IND","TDWG Level 4 code","native"
148,"EHMDJ","TDWG Level 4 code","native"
154,"SIEOO","TDWG Level 4 code","native"
155,"CYPOO","TDWG Level 4 code","native"
155,"GRCOO","TDWG Level 4 code","native"
155,"ITAIT","TDWG Level 4 code","native"
155,"YUG","TDWG Level 4 code","native"
155,"TKMOO","TDWG Level 4 code","native"
155,"PALJO","TDWG Level 4 code","native"
155,"TUROO","TDWG Level 4 code","native"
155,"IRNOO","TDWG Level 4 code","native"
155,"BULOO","TDWG Level 4 code","native"
156,"CNYOO","TDWG Level 4 code","native"
157,"CNYOO","TDWG Level 4 code","native"
158,"CNYOO","TDWG Level 4 code","native"
159,"MDGOO","TDWG Level 4 code","native"
162,"CMNOO","TDWG Level 4 code","native"
166,"CMNOO","TDWG Level 4 code","native"
170,"SIEOO","TDWG Level 4 code","native"
172,"CPP","TDWG Level 4 code","native"
174,"KAZOO","TDWG Level 4 code","native"
175,"PHIOO","TDWG Level 4 code","native"
176,"CPP","TDWG Level 4 code","native"
179,"VANOO","TDWG Level 4 code","native"
182,"SEYOO","TDWG Level 4 code","native"
183,"NWCOO","TDWG Level 4 code","native"
183,"FIJOO","TDWG Level 4 code","native"
183,"NNSOO","TDWG Level 4 code","native"
185,"SEYOO","TDWG Level 4 code","native"
186,"CVIOO","TDWG Level 4 code","native"
187,"CVIOO","TDWG Level 4 code","native"
192,"SEYOO","TDWG Level 4 code","native"
193,"SEYOO","TDWG Level 4 code","native"
196,"QLDQU","TDWG Level 4 code","native"
197,"QLDQU","TDWG Level 4 code","native"
198,"NSW","TDWG Level 4 code","native"
200,"NWGPN","TDWG Level 4 code","native"
201,"QLDQU","TDWG Level 4 code","native"
202,"QLDQU","TDWG Level 4 code","native"
203,"QLD","TDWG Level 4 code","native"
204,"WAUWA","TDWG Level 4 code","native"
207,"IND","TDWG Level 4 code","native"
209,"SRLOO","TDWG Level 4 code","native"
210,"NWCOO","TDWG Level 4 code","native"
211,"NWCOO","TDWG Level 4 code","native"
212,"FIJOO","TDWG Level 4 code","native"
214,"FIJOO","TDWG Level 4 code","native"
215,"FIJOO","TDWG Level 4 code","native"
218,"SAMWS","TDWG Level 4 code","native"
255,"NWCOO","TDWG Level 4 code","native"
256,"NWCOO","TDWG Level 4 code","native"
258,"NWCOO","TDWG Level 4 code","native"
259,"NWCOO","TDWG Level 4 code","native"
260,"NWCOO","TDWG Level 4 code","native"
261,"NWCOO","TDWG Level 4 code","native"
263,"NWCOO","TDWG Level 4 code","native"
264,"NWCOO","TDWG Level 4 code","native"
265,"NWCOO","TDWG Level 4 code","native"
270,"NWCOO","TDWG Level 4 code","native"
272,"NWCOO","TDWG Level 4 code","native"
273,"NWCOO","TDWG Level 4 code","native"
274,"NWCOO","TDWG Level 4 code","native"
275,"NWCOO","TDWG Level 4 code","native"
331,"CHCYN","TDWG Level 4 code","native"
331,"VIEOO","TDWG Level 4 code","native"
333,"BORSR","TDWG Level 4 code","native"
334,"MLYSI","TDWG Level 4 code","native"
338,"FIJOO","TDWG Level 4 code","native"
339,"ECUOO","TDWG Level 4 code","native"
340,"PEROO","TDWG Level 4 code","native"
341,"PANOO","TDWG Level 4 code","native"
343,"SOLNO","TDWG Level 4 code","native"
346,"CPP","TDWG Level 4 code","native"
346,"VIEOO","TDWG Level 4 code","native"
346,"TANOO","TDWG Level 4 code","native"
346,"KENOO","TDWG Level 4 code","native"
346,"CAFOO","TDWG Level 4 code","native"
346,"CPPEC,CPPNC,CPPWC,NATOO,OFSOO,TVLGA,TVLMP,TVLNP,TVLNW","TDWG Level 4 code","native"
357,"VIEOO","TDWG Level 4 code","native"
357,"JAWOO","TDWG Level 4 code","native"
357,"TAIOO","TDWG Level 4 code","native"
357,"THAOO","TDWG Level 4 code","native"
357,"CHHOO","TDWG Level 4 code","native"
357,"CHSGX","TDWG Level 4 code","native"
357,"JAPHN","TDWG Level 4 code","native"
364,"NAMOO","TDWG Level 4 code","native"
365,"GNBOO","TDWG Level 4 code","native"
365,"SENOO","TDWG Level 4 code","native"
365,"ZIMOO","TDWG Level 4 code","native"
365,"TANOO","TDWG Level 4 code","native"
365,"SIEOO","TDWG Level 4 code","native"
365,"GUIOO","TDWG Level 4 code","native"
365,"CAFOO","TDWG Level 4 code","native"
365,"SOCOO","TDWG Level 4 code","native"
367,"PHIOO","TDWG Level 4 code","native"
368,"JAWOO","TDWG Level 4 code","native"
369,"SULOO","TDWG Level 4 code","native"
394,"ALGOO","TDWG Level 4 code","native"
394,"SENOO","TDWG Level 4 code","native"
394,"SUDOO","TDWG Level 4 code","native"
394,"SIEOO","TDWG Level 4 code","native"
394,"GUIOO","TDWG Level 4 code","native"
394,"EGYOO","TDWG Level 4 code","native"
394,"NGAOO","TDWG Level 4 code","native"
394,"TUNOO","TDWG Level 4 code","native"
394,"GHAOO","TDWG Level 4 code","native"
395,"CHSGD","TDWG Level 4 code","native"
395,"JAPKY","TDWG Level 4 code","native"
395,"JAPSH","TDWG Level 4 code","native"
395,"VIEOO","TDWG Level 4 code","native"
395,"JAWOO","TDWG Level 4 code","native"
395,"TAIOO","TDWG Level 4 code","native"
395,"SRLOO","TDWG Level 4 code","native"
395,"CHHOO","TDWG Level 4 code","native"
395,"JAPHN","TDWG Level 4 code","native"
395,"NNSOO","TDWG Level 4 code","native"
399,"IRNOO","TDWG Level 4 code","native"
399,"OMAOO","TDWG Level 4 code","native"
399,"GSTUA","TDWG Level 4 code","native"
399,"SAUOO","TDWG Level 4 code","native"
401,"VIEOO","TDWG Level 4 code","native"
401,"SENOO","TDWG Level 4 code","native"
401,"CMNOO","TDWG Level 4 code","native"
401,"CPPWC","TDWG Level 4 code","native"
401,"SIEOO","TDWG Level 4 code","native"
401,"GUIOO","TDWG Level 4 code","native"
401,"CAFOO","TDWG Level 4 code","native"
401,"EQGOO","TDWG Level 4 code","native"
401,"CPPEC,CPPNC,CPPWC,NATOO,OFSOO,TVLGA,TVLMP,TVLNP,TVLNW","TDWG Level 4 code","native"
401,"CHAOO","TDWG Level 4 code","native"
401,"GHAOO","TDWG Level 4 code","native"
401,"BENOO","TDWG Level 4 code","native"
401,"IVOOO","TDWG Level 4 code","native"
402,"SOLSO","TDWG Level 4 code","native"
402,"SOLNO","TDWG Level 4 code","native"
405,"QLDQU","TDWG Level 4 code","native"
405,"NSWNS","TDWG Level 4 code","native"
419,"SOLSO","TDWG Level 4 code","native"
420,"SOLSO","TDWG Level 4 code","native"
420,"SOLNO","TDWG Level 4 code","native"
421,"CHSGX","TDWG Level 4 code","native"
421,"VIEOO","TDWG Level 4 code","native"
423,"CHCYN","TDWG Level 4 code","native"
423,"MYAOO","TDWG Level 4 code","native"
425,"PAKOO","TDWG Level 4 code","native"
426,"VIEOO","TDWG Level 4 code","native"
429,"VIEOO","TDWG Level 4 code","native"
432,"BANOO","TDWG Level 4 code","native"
432,"PAKOO","TDWG Level 4 code","native"
432,"BOR","TDWG Level 4 code","native"
432,"MYAOO","TDWG Level 4 code","native"
432,"INDWB","TDWG Level 4 code","native"
432,"INDTN","TDWG Level 4 code","native"
432,"INDMR","TDWG Level 4 code","native"
435,"AFGOO","TDWG Level 4 code","native"
435,"JAWOO","TDWG Level 4 code","native"
438,"TAIOO","TDWG Level 4 code","native"
441,"CHSJX","TDWG Level 4 code","native"
441,"CHHOO","TDWG Level 4 code","native"
443,"VIEOO","TDWG Level 4 code","native"
444,"VIEOO","TDWG Level 4 code","native"
444,"CHSFJ","TDWG Level 4 code","native"
444,"BORSR","TDWG Level 4 code","native"
445,"PHIOO","TDWG Level 4 code","native"
446,"PHIOO","TDWG Level 4 code","native"
449,"NWGPN","TDWG Level 4 code","native"
450,"NWGIJ","TDWG Level 4 code","native"
494,"CHCYN","TDWG Level 4 code","native"
558,"ZAIOO","TDWG Level 4 code","native"
558,"CMNOO","TDWG Level 4 code","native"
560,"CMNOO","TDWG Level 4 code","native"
561,"NSWNS","TDWG Level 4 code","native"
561,"50","TDWG Level 4 code","native"
561,"SOAOO","TDWG Level 4 code","native"
561,"QLDQU","TDWG Level 4 code","native"
561,"NZNOO","TDWG Level 4 code","native"
561,"VICOO","TDWG Level 4 code","native"
562,"TAIOO","TDWG Level 4 code","native"
563,"CPPEC","TDWG Level 4 code","native"
563,"CPPWC","TDWG Level 4 code","native"
564,"51","TDWG Level 4 code","native"
564,"NZNOO","TDWG Level 4 code","native"
564,"NZSOO","TDWG Level 4 code","native"
565,"LSILS","TDWG Level 4 code","native"
566,"VIEOO","TDWG Level 4 code","native"
567,"JAPKY","TDWG Level 4 code","native"
567,"KOR","TDWG Level 4 code","native"
567,"JAPSH","TDWG Level 4 code","native"
567,"TAIOO","TDWG Level 4 code","native"
567,"CHSHK","TDWG Level 4 code","native"
567,"JAP","TDWG Level 4 code","native"
567,"JAPHN","TDWG Level 4 code","native"
567,"NNSOO","TDWG Level 4 code","native"
569,"TAIOO","TDWG Level 4 code","native"
570,"MLYSI","TDWG Level 4 code","native"
570,"SRLOO","TDWG Level 4 code","native"
572,"PANOO","TDWG Level 4 code","native"
573,"WINSV","TDWG Level 4 code","native"
574,"QLDQU","TDWG Level 4 code","native"
575,"QLDQU","TDWG Level 4 code","native"
576,"QLDQU","TDWG Level 4 code","native"
577,"NSWNS","TDWG Level 4 code","native"
578,"HONOO","TDWG Level 4 code","native"
578,"BLZOO","TDWG Level 4 code","native"
578,"79","TDWG Level 4 code","native"
578,"PANOO","TDWG Level 4 code","native"
578,"NICOO","TDWG Level 4 code","native"
579,"ZAIOO","TDWG Level 4 code","native"
579,"KENOO","TDWG Level 4 code","native"
579,"RWAOO","TDWG Level 4 code","native"
580,"ZAIOO","TDWG Level 4 code","native"
581,"QLDQU","TDWG Level 4 code","native"
581,"50","TDWG Level 4 code","native"
582,"QLDQU","TDWG Level 4 code","native"
583,"QLDQU","TDWG Level 4 code","native"
584,"QLDQU","TDWG Level 4 code","native"
590,"ZAIOO","TDWG Level 4 code","native"
590,"RWAOO","TDWG Level 4 code","native"
591,"ZAIOO","TDWG Level 4 code","native"
591,"CMNOO","TDWG Level 4 code","native"
591,"UGAOO","TDWG Level 4 code","native"
591,"RWAOO","TDWG Level 4 code","native"
592,"URUOO","TDWG Level 4 code","native"
592,"LSILS","TDWG Level 4 code","native"
593,"NSWNS","TDWG Level 4 code","native"
594,"TAIOO","TDWG Level 4 code","native"
594,"CHSZJ","TDWG Level 4 code","native"
595,"NWG","TDWG Level 4 code","native"
595,"NWGIJ","TDWG Level 4 code","native"
596,"NWGIJ","TDWG Level 4 code","native"
597,"CMNOO","TDWG Level 4 code","native"
598,"TANOO","TDWG Level 4 code","native"
599,"FIJOO","TDWG Level 4 code","native"
600,"WAUWA","TDWG Level 4 code","native"
601,"CPPEC,CPPNC,CPPWC,NATOO,OFSOO,TVLGA,TVLMP,TVLNP,TVLNW","TDWG Level 4 code","native"
604,"FIJOO","TDWG Level 4 code","native"
605,"FIJOO","TDWG Level 4 code","native"
606,"SRLOO","TDWG Level 4 code","native"
607,"PHIOO","TDWG Level 4 code","native"
608,"FIJOO","TDWG Level 4 code","native"
609,"SOL","TDWG Level 4 code","native"
610,"PHIOO","TDWG Level 4 code","native"
611,"PHIOO","TDWG Level 4 code","native"
611,"NWGIJ","TDWG Level 4 code","native"
612,"FIJOO","TDWG Level 4 code","native"
613,"FIJOO","TDWG Level 4 code","native"
614,"FIJOO","TDWG Level 4 code","native"
615,"PHIOO","TDWG Level 4 code","native"
616,"CHSJX","TDWG Level 4 code","native"
616,"BORSR","TDWG Level 4 code","native"
616,"SRLOO","TDWG Level 4 code","native"
617,"CHCYN","TDWG Level 4 code","native"
617,"CHCSC","TDWG Level 4 code","native"
618,"CALOO","TDWG Level 4 code","native"
619,"PUEOO","TDWG Level 4 code","native"
620,"ARIOO","TDWG Level 4 code","native"
622,"TENOO","TDWG Level 4 code","native"
622,"MSIOO","TDWG Level 4 code","native"
622,"MAIOO","TDWG Level 4 code","native"
622,"MSOOO","TDWG Level 4 code","native"
622,"ALAOO","TDWG Level 4 code","native"
622,"FLAOO","TDWG Level 4 code","native"
622,"NWJOO","TDWG Level 4 code","native"
622,"TEXOO","TDWG Level 4 code","native"
622,"GEOOO","TDWG Level 4 code","native"
622,"LOUOO","TDWG Level 4 code","native"
622,"FLA","TDWG Level 4 code","native"
622,"NWHOO","TDWG Level 4 code","native"
622,"OHIOO","TDWG Level 4 code","native"
622,"SCAOO","TDWG Level 4 code","native"
622,"MASOO","TDWG Level 4 code","native"
622,"MICOO","TDWG Level 4 code","native"
622,"NCAOO","TDWG Level 4 code","native"
625,"ARKOO","TDWG Level 4 code","native"
625,"TENOO","TDWG Level 4 code","native"
625,"MSOOO","TDWG Level 4 code","native"
625,"ALAOO","TDWG Level 4 code","native"
625,"ILLOO","TDWG Level 4 code","native"
625,"NWJOO","TDWG Level 4 code","native"
625,"GEOOO","TDWG Level 4 code","native"
625,"DELOO","TDWG Level 4 code","native"
625,"TEXOO","TDWG Level 4 code","native"
625,"FLA","TDWG Level 4 code","native"
625,"LOUOO","TDWG Level 4 code","native"
625,"VRGOO","TDWG Level 4 code","native"
625,"OHIOO","TDWG Level 4 code","native"
625,"SCAOO","TDWG Level 4 code","native"
625,"PENOO","TDWG Level 4 code","native"
625,"KANOO","TDWG Level 4 code","native"
625,"NCAOO","TDWG Level 4 code","native"
625,"WDCOO","TDWG Level 4 code","native"
625,"MRYOO","TDWG Level 4 code","native"
626,"GUAOO","TDWG Level 4 code","native"
626,"PANOO","TDWG Level 4 code","native"
627,"TENOO","TDWG Level 4 code","native"
627,"IOWOO","TDWG Level 4 code","native"
627,"ILLOO","TDWG Level 4 code","native"
627,"NWHOO","TDWG Level 4 code","native"
627,"VRGOO","TDWG Level 4 code","native"
627,"PENOO","TDWG Level 4 code","native"
627,"NCAOO","TDWG Level 4 code","native"
627,"TEXOO","TDWG Level 4 code","native"
627,"OHIOO","TDWG Level 4 code","native"
627,"MASOO","TDWG Level 4 code","native"
627,"NWYOO","TDWG Level 4 code","native"
627,"NWJOO","TDWG Level 4 code","native"
627,"DELOO","TDWG Level 4 code","native"
627,"GEOOO","TDWG Level 4 code","native"
627,"SCAOO","TDWG Level 4 code","native"
627,"KANOO","TDWG Level 4 code","native"
627,"WVAOO","TDWG Level 4 code","native"
627,"MRYOO","TDWG Level 4 code","native"
627,"WDCOO","TDWG Level 4 code","native"
627,"CNTOO","TDWG Level 4 code","native"
627,"FLAOO","TDWG Level 4 code","native"
627,"FLA","TDWG Level 4 code","native"
627,"INIOO","TDWG Level 4 code","native"
628,"PUEOO","TDWG Level 4 code","native"
636,"CLCOH","TDWG Level 4 code","native"
636,"CLSLL","TDWG Level 4 code","native"
636,"CLCBI,CLCCO,CLCLA,CLCMA,CLCOH,CLCSA,CLCVA,CLNAN,CLNAT,CLNTA,CLSAI,CLSLL,CLSMG","TDWG Level 4 code","native"
638,"HAIHA","TDWG Level 4 code","native"
646,"ILLOO","TDWG Level 4 code","native"
646,"VRGOO","TDWG Level 4 code","native"
646,"NWHOO","TDWG Level 4 code","native"
646,"NCAOO","TDWG Level 4 code","native"
646,"MSIOO","TDWG Level 4 code","native"
646,"TEXOO","TDWG Level 4 code","native"
646,"OHIOO","TDWG Level 4 code","native"
646,"MASOO","TDWG Level 4 code","native"
646,"NWYOO","TDWG Level 4 code","native"
646,"ALAOO","TDWG Level 4 code","native"
646,"NWJOO","TDWG Level 4 code","native"
646,"GEOOO","TDWG Level 4 code","native"
646,"LOUOO","TDWG Level 4 code","native"
646,"SCAOO","TDWG Level 4 code","native"
646,"KANOO","TDWG Level 4 code","native"
646,"MRYOO","TDWG Level 4 code","native"
646,"WDCOO","TDWG Level 4 code","native"
646,"CNTOO","TDWG Level 4 code","native"
646,"MSOOO","TDWG Level 4 code","native"
646,"FLAOO","TDWG Level 4 code","native"
646,"FLA","TDWG Level 4 code","native"
646,"ONTOO","TDWG Level 4 code","native"
655,"CLSAI","TDWG Level 4 code","native"
655,"CLCOH","TDWG Level 4 code","native"
655,"CLCBI,CLCCO,CLCLA,CLCMA,CLCOH,CLCSA,CLCVA,CLNAN,CLNAT,CLNTA,CLSAI,CLSLL,CLSMG","TDWG Level 4 code","native"
656,"NCAOO","TDWG Level 4 code","native"
656,"MSIOO","TDWG Level 4 code","native"
656,"CNTOO","TDWG Level 4 code","native"
656,"NWYOO","TDWG Level 4 code","native"
656,"ALAOO","TDWG Level 4 code","native"
656,"FLAOO","TDWG Level 4 code","native"
656,"NWJOO","TDWG Level 4 code","native"
656,"GEOOO","TDWG Level 4 code","native"
656,"DELOO","TDWG Level 4 code","native"
656,"TEXOO","TDWG Level 4 code","native"
656,"VRGOO","TDWG Level 4 code","native"
656,"LOUOO","TDWG Level 4 code","native"
656,"FLA","TDWG Level 4 code","native"
657,"LOUOO","TDWG Level 4 code","native"
657,"NCAOO","TDWG Level 4 code","native"
657,"FLA","TDWG Level 4 code","native"
657,"MSIOO","TDWG Level 4 code","native"
657,"FLAOO","TDWG Level 4 code","native"
657,"NWJOO","TDWG Level 4 code","native"
657,"GEOOO","TDWG Level 4 code","native"
659,"NEBOO","TDWG Level 4 code","native"
659,"TENOO","TDWG Level 4 code","native"
659,"IOWOO","TDWG Level 4 code","native"
659,"ILLOO","TDWG Level 4 code","native"
659,"NWHOO","TDWG Level 4 code","native"
659,"VRGOO","TDWG Level 4 code","native"
659,"PENOO","TDWG Level 4 code","native"
659,"NCAOO","TDWG Level 4 code","native"
659,"OKLOO","TDWG Level 4 code","native"
659,"OHIOO","TDWG Level 4 code","native"
659,"MASOO","TDWG Level 4 code","native"
659,"NWYOO","TDWG Level 4 code","native"
659,"ALAOO","TDWG Level 4 code","native"
659,"NWJOO","TDWG Level 4 code","native"
659,"GEOOO","TDWG Level 4 code","native"
659,"DELOO","TDWG Level 4 code","native"
659,"LOUOO","TDWG Level 4 code","native"
659,"SCAOO","TDWG Level 4 code","native"
659,"MINOO","TDWG Level 4 code","native"
659,"KANOO","TDWG Level 4 code","native"
659,"MRYOO","TDWG Level 4 code","native"
659,"WDCOO","TDWG Level 4 code","native"
659,"RHOOO","TDWG Level 4 code","native"
659,"CNTOO","TDWG Level 4 code","native"
659,"MSOOO","TDWG Level 4 code","native"
659,"INIOO","TDWG Level 4 code","native"
661,"CUBOO","TDWG Level 4 code","native"
662,"GUAOO","TDWG Level 4 code","native"
662,"MXTTB","TDWG Level 4 code","native"
662,"79","TDWG Level 4 code","native"
662,"PANOO","TDWG Level 4 code","native"
662,"MXGVC","TDWG Level 4 code","native"
665,"CHSFJ","TDWG Level 4 code","native"
666,"CHSFJ","TDWG Level 4 code","native"
667,"JAPKY","TDWG Level 4 code","native"
667,"JAPSH","TDWG Level 4 code","native"
667,"QLDQU","TDWG Level 4 code","native"
667,"CHSGX","TDWG Level 4 code","native"
667,"JAP","TDWG Level 4 code","native"
667,"JAPHN","TDWG Level 4 code","native"
667,"NNSOO","TDWG Level 4 code","native"
668,"CHTOO","TDWG Level 4 code","native"
669,"CHSFJ","TDWG Level 4 code","native"
670,"PANOO","TDWG Level 4 code","native"
671,"NWCOO","TDWG Level 4 code","native"
672,"SRLOO","TDWG Level 4 code","native"
673,"PHIOO","TDWG Level 4 code","native"
676,"NWCOO","TDWG Level 4 code","native"
677,"SEYOO","TDWG Level 4 code","native"
677,"INDMH","TDWG Level 4 code","native"
677,"MAUOO","TDWG Level 4 code","native"
678,"ZAIOO","TDWG Level 4 code","native"
678,"KENOO","TDWG Level 4 code","native"
678,"CPPEC,CPPNC,CPPWC,NATOO,OFSOO,TVLGA,TVLMP,TVLNP,TVLNW","TDWG Level 4 code","native"
678,"NATOO","TDWG Level 4 code","native"
678,"ANGOO","TDWG Level 4 code","native"
679,"SAMWS","TDWG Level 4 code","native"
680,"PHIOO","TDWG Level 4 code","native"
681,"QLDQU","TDWG Level 4 code","native"
681,"50","TDWG Level 4 code","native"
682,"ASSAS","TDWG Level 4 code","native"
682,"IND","TDWG Level 4 code","native"
688,"GUYOO","TDWG Level 4 code","native"
688,"PANOO","TDWG Level 4 code","native"
688,"TRTOO","TDWG Level 4 code","native"
688,"84","TDWG Level 4 code","native"
689,"GUYOO","TDWG Level 4 code","native"
691,"84","TDWG Level 4 code","native"
692,"ITAIT","TDWG Level 4 code","native"
692,"GRCOO","TDWG Level 4 code","native"
692,"FRAFR","TDWG Level 4 code","native"
692,"SAROO","TDWG Level 4 code","native"
692,"SPASP","TDWG Level 4 code","native"
693,"NCAOO","TDWG Level 4 code","native"
693,"SASOO","TDWG Level 4 code","native"
693,"RHOOO","TDWG Level 4 code","native"
693,"CNTOO","TDWG Level 4 code","native"
693,"NWYOO","TDWG Level 4 code","native"
693,"NBROO","TDWG Level 4 code","native"
693,"QUEOO","TDWG Level 4 code","native"
